"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIETOTA","Total population at birth","EVIDUREV","Years","GBR","United Kingdom","2016","2016",81.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","USA","United States","2015","2015",78.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","USA","United States","2016","2016",78.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BRA","Brazil","2015","2015",74.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CHL","Chile","2015","2015",79.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CHN","China (People's Republic of)","2015","2015",76,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","EST","Estonia","2015","2015",77.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","EST","Estonia","2016","2016",77.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","IND","India","2015","2015",68.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","IDN","Indonesia","2015","2015",69.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","ISR","Israel","2015","2015",82.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","ISR","Israel","2016","2016",82.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","RUS","Russia","2015","2015",71.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","RUS","Russia","2016","2016",71.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","SVN","Slovenia","2015","2015",80.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","SVN","Slovenia","2016","2016",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","ZAF","South Africa","2015","2015",57.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","LVA","Latvia","2015","2015",74.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","LVA","Latvia","2016","2016",74.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CRI","Costa Rica","2015","2015",79.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","LTU","Lithuania","2015","2015",74.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","LTU","Lithuania","2016","2016",74.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","COL","Colombia","2015","2015",76.2,,
