"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CRI","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",40.581,
"CRI","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",,"M"
"CRI","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",,"M"
"CRI","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"CRI","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",59.419,
"CRI","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",,"M"
"CRI","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",,"M"
"CRI","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"LTU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",23.776,
"LTU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",22.379,
"LTU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",25.011,
"LTU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"LTU","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",72.678,
"LTU","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",74.347,
"LTU","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",71.767,
"LTU","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
