"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"COVGCMED","Total health care","TOTPOPTX","% of total population","IRL","Ireland","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ITA","Italy","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ITA","Italy","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","JPN","Japan","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","KOR","Korea","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","KOR","Korea","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","MEX","Mexico","2015","2015",92.3,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","MEX","Mexico","2016","2016",90.2,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","NLD","Netherlands","2015","2015",99.8,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","NLD","Netherlands","2016","2016",99.9,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","NZL","New Zealand","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NZL","New Zealand","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NZL","New Zealand","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NOR","Norway","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NOR","Norway","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NOR","Norway","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","POL","Poland","2015","2015",91,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","POL","Poland","2016","2016",91.5,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","PRT","Portugal","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","PRT","Portugal","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SVK","Slovak Republic","2015","2015",93.8,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SVK","Slovak Republic","2016","2016",94.5,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ESP","Spain","2017","2017",99,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SWE","Sweden","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SWE","Sweden","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CHE","Switzerland","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CHE","Switzerland","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","TUR","Turkey","2015","2015",98.4,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","TUR","Turkey","2016","2016",98.2,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","TUR","Turkey","2017","2017",99.2,"P","Provisional value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","GBR","United Kingdom","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GBR","United Kingdom","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","USA","United States","2015","2015",35.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","USA","United States","2016","2016",36.3,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CHL","Chile","2015","2015",73.2,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CHL","Chile","2016","2016",74.4,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CHL","Chile","2017","2017",74.4,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","EST","Estonia","2015","2015",94,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","EST","Estonia","2016","2016",94,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","EST","Estonia","2017","2017",94.1,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISR","Israel","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISR","Israel","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISR","Israel","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SVN","Slovenia","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SVN","Slovenia","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","RUS","Russia","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","RUS","Russia","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","COL","Colombia","2015","2015",97.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","COL","Colombia","2016","2016",95.7,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","COL","Colombia","2017","2017",94.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","LTU","Lithuania","2015","2015",92.4,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","LTU","Lithuania","2016","2016",92.5,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","LTU","Lithuania","2017","2017",93.9,,
